Title,Address,Car,Moto,Money,Lat,Lon
德安百貨本館停車場,臺南市東區中華東路3段360號,372,353,無提供資訊,22.974119,120.220165
台糖長榮酒店（台南）第二停車場,臺南市東區竹篙厝段4064地號土地(中華東路3段399巷),121,0,無提供資訊,22.97309,120.220453
國賓影城股份有限公司台南中華分公司地下停車場,臺南市東區中華東路1段66號地下1、2層,96,230,無提供資訊,22.99683,120.234029
國立成功大學大學路地下停車場,臺南市東區大學路1號,143,0,無提供資訊,22.99661,120.216811
國聯停車場,臺南市東區中華東路1段92號地下2樓,116,0,無提供資訊,22.994737,120.233848
松興停車場,臺南市東區前鋒路149號左側,0,158,無提供資訊,23.003083,120.214889
南紡夢時代停車場,臺南市東區中華東路1段366號,897,1975,無提供資訊,22.989882,120.233606
台灣聯通台南裕農停車場,臺南市東區裕農路375號旁,140,0,無提供資訊,22.987197,120.229929
崇善停車場,臺南市東區崇善路913巷6弄口（德高段349地號）,4,0,無提供資訊,22.965755,120.233832
TIMES台南樹林街停車場,臺南市南區大德街178號東側空地(樹林街交叉口),65,0,無提供資訊,22.986278,120.195493
台南航空站停車場,臺南市南區大同路2段1002號地下室1樓,108,0,無提供資訊,22.947833,120.216238
金華停車場,臺南市南區新興段221、221-7地號(尊南街37巷南側),67,0,無提供資訊,23.001014,120.196202
奇美醫院柳營分院停車場,臺南市柳營區太康村201號,296,0,無提供資訊,23.290288,120.325346
柳營新天地停車場,臺南市柳營區太康村201-10號,346,304,無提供資訊,23.289913,120.329166
尖山埤江南渡假村停車場,臺南市柳營區旭山里60號,314,0,無提供資訊,23.266749,120.392637
嘟嘟房高鐵台南站停車場,臺南市歸仁區歸仁大道100號,671,433,無提供資訊,22.925635,120.286259
龍昇停車場,臺南市歸仁區武東段130-2地號(歸仁大道近歸仁五路北側),98,0,無提供資訊,22.928848,120.284877
詮營股份有限公司台南（一）收費處,臺南市歸仁區武東段241地號(高鐵橋下-歸仁八路與歸仁十路間),151,0,無提供資訊,22.926779,120.285249
五都停車場高鐵台南三站,臺南市歸仁區武當路與高鐵大道交叉口（武東段268地號）,62,0,無提供資訊,22.922966,120.28526
馬上停停車場,臺南市歸仁區台南高鐵特定區歸仁八路與武當路交叉口,483,0,無提供資訊,22.927858,120.28277
車寶貝停車場,臺南市歸仁區台南高鐵特定區歸仁八路與武當路交叉口（武東段261、261-1地號）,469,0,無提供資訊,22.927864,120.282613
五都停車場,臺南市歸仁區高鐵大道與高鐵一路交叉口（武東段366-6~366-12地號）,189,0,無提供資訊,22.923121,120.283008
行政院衛生署新營醫院停車場,臺南市新營區信義街73號,68,128,無提供資訊,23.308881,120.313388
七股鹽山停車場,臺南市七股區鹽埕里66號,80,22,無提供資訊,23.154948,120.098966
關子嶺風景特定區白河水庫停車場,臺南市白河區仙草里1-18號,20,7,無提供資訊,23.333585,120.458797
烏山頭水庫風景區停車場,臺南市官田區嘉南里68-2號,318,5,無提供資訊,23.207948,120.363147
虎頭埤風景區附設停車場,臺南市新化區中興路42巷36號,43,26,無提供資訊,23.027103,120.335162
走馬瀨農場停車場,臺南市大內區二溪里唭子瓦60號,137,10,無提供資訊,23.136501,120.429929
曾文水庫風景區停車場,臺南市楠西區密枝里70號,152,9,無提供資訊,23.210457,120.496897
麻豆新樓醫院附設停車場,臺南市麻豆區苓子林20號,116,361,無提供資訊,23.180225,120.232857
文慧停車場,臺南市關廟區花園一街80號旁(北花段994地號),3,0,無提供資訊,22.961623,120.336446
文化中心森活機車停車場,臺南市東區臺南市東區中華東路3段380巷及452巷8弄交叉口,0,389,計次10元/時/跨日另計費,22.98133,120.2224227
崇善路龍山停車場,臺南市東區臺南市東區崇善路25巷內,144,23,小型車為每半小時/10元(身障者半價優惠)，前30分鐘內免費，當日最高收費200元，月票2，500元(身障者優惠價為1，500元)，機車暫不收費。另提供敦親睦鄰優惠方案，優惠龍山里與德光里，里民月票優惠價為1，750元(7折)，住民或工作者月票優惠價為2，125元(85折)。,22.98133,120.2224227
海安路地下停車場,臺南市中西區海安路一段188號,891,0,20元/時,22.991171,120.195711
明年的旅程,,我,愛,妳,7.719279,134.613665
